"odoo","odoo.com"
"oca","odoo-community.org"
"kivitendo","kivitendo.de"
"openbravo","openbravo.com"
"openconcerto","openconcerto.org"
"jfire","jfire.net"
"promet-erp","free-erp.de"
"dolibarr","dolibarr.org"
"weberp","web-erp.org"
"tryton","tryton.org"
"adempiere","adempiere.com"
"erp5","erp5.org"
"project-open","project-open.com"
"compiere","compiere.com"
"metasfresh","metasfresh.com"
"mediboard","mediboard.org"
"iDempiere","idempiere.org"
"opentaps","opentaps.org"
"tutos","tutos.org"
"ekylibre","ekylibre.org"
"projecterp","projecterp.org"
"qcadoo-mes","qcadoo.com"
"libertya","libertya.org"
"drupalerp","drupalerp.com"
"easyerpsystem","easyerp.com"
"inoERP","inoideas.org"
"dnet_ebusiness_suite","dnet-ebusiness-suite.com"
"ledger-smb","ledgersmb.org"
